text,emojis
Seoul,"['🏙️', '🎶', '🎮', '🍜', '📱']"
5G Network,"['📱', '5️⃣G', '🌐', '⚡️', '📶']"
Malaysia 🇲🇾,"['🇲🇾', '🕌', '🏖️', '🦎', '🍜', '🌴']"
Argentina 🇦🇷,"['🇦🇷', '⚽️', '🏞️', '🐮', '🍷', '🐎']"
Public Transportation,"['🚇', '🚍', '🚉', '🚎', '🛴']"
Renewable Energy,"['☀️', '🌬️', '🔋', '🌱', '🌍']"
Natural Disaster,"['🌪️', '🌊', '🔥']"
Aviation Industry,"['✈️', '🛫', '🛬', '🛩️', '🌍']"
Cloud computing adoption rises in small businesses.,"['☁️', '💻', '🏢']"
Flood relief operations underway in Indonesia.,"['🌊', '🚁', '🏥', '🇮🇩']"
Fisheries,"['🐟', '🎣', '🚢']"
Sub-Saharan Africa,"['🦁', '🐘', '🐆', '🌄', '🏞️']"
Retail Sales,"['🛍️', '💳', '📈', '🏪', '📦']"
MOOCs,"['🎓', '💻', '🌐', '📚', '✅']"
Battery Recycling,"['🔋', '♻️', '🛠️']"
Recycling,"['♻️', '🗑️', '🌍']"
Wildlife Protection,"['🦁', '🐘', '🐼', '🌲', '🦒']"
Bangkok,"['🛕', '🏖️', '🍜', '🐘', '🌅']"
Vaccine Development,"['💉', '🧪', '🔬', '🏥']"
Waste Reduction,"['🗑️', '♻️', '🚮']"
MOOCs,"['🌐', '📚', '🎓']"
Carbon Emissions,"['🏭', '🌫️', '📉']"
Norway 🇳🇴,"['🇳🇴', '❄️', '🏔️', '🎿', '🌲', '🐟']"
Sustainable Forestry,"['🌲', '🌳', '🌱', '♻️']"
Hydropower Plant,"['🌊', '⚡️', '🏭']"
Big Data,"['🗂️', '📊', '💾', '🌐', '🧠']"
Oil Spill,"['🛢️', '🌊', '🚫', '🐟', '💀']"
Satellite Launch,"['🚀', '🛰️', '📡', '🌍', '✅']"
Travel,"['✈️', '🌍', '🗺️']"
Public Transportation,"['🚉', '🚍', '🚆', '🛤️', '🚎']"
Peru 🇵🇪,"['🇵🇪', '🏞️', '🗿', '🐫', '🎋']"
Basketball,"['🏀', '🏟️', '⛹️']"
Malta 🇲🇹,"['🇲🇹', '🏝️', '⛪️', '🌅', '🐟']"
Thimphu,"['🇧🇹', '🏔️', '🐉', '🏕️', '🛕']"
Cultural Heritage,"['🏛️', '📜', '🗿']"
Saudi Arabia 🇸🇦,"['🇸🇦', '🕌', '🏜️', '⛽️', '🕋', '🌴']"
Cyprus 🇨🇾,"['🇨🇾', '🏖️', '⛪️', '🍇', '🏺']"
Disaster Relief,"['🚨', '🏥', '🌊', '🏚️', '🤝']"
Tennis,"['🎾', '🏟️', '🏆']"
Singapore 🇸🇬,"['🇸🇬', '🏙️', '🌸', '🛳️', '🍲', '📈']"
Paris,"['🗼', '🥖', '🍷', '🎨', '👜']"
Mental Health Awareness,"['🧠', '❤️', '🧘‍♂️', '🩺', '✅']"
Tsunami,"['🌊', '🏝️', '⚠️']"
Wind Turbine,"['🌬️', '⚡️', '🌍']"
Philippines 🇵🇭,"['🇵🇭', '🏖️', '🌴', '🥭', '🎣', '🏝️']"
Lagos,"['🏙️', '🎶', '🥁', '🐘', '🏟️']"
Airline,"['✈️', '🛫', '🛄']"
Cat,"['🐱', '😺', '🐾', '🧶', '🏡']"
Logistics,"['🚚', '📦', '🛳️', '🚆', '✈️']"
Hydropower,"['🌊', '⚡️', '🚢']"
Vaccine,"['💉', '🧪']"
Urban Planning,"['🏙️', '🏗️', '🚧', '📐', '🗺️']"
Freedom of Information,"['📜', '🗣️', '🌐',  '🔓']"
Online Exams,"['📝', '💻', '🎓']"
Flood,"['🌊', '💦', '🚣']"
Solar Energy,"['☀️', '🔋', '🌞', '⚡️', '🌱']"
Deforestation,"['🌳', '🪓', '🔥', '🚫', '🌍']"
Digital wallets replace cash payments in South Korea.,"['💳', '📱', '🇰🇷']"
South Africa 🇿🇦,"['🇿🇦', '🐘', '🦁', '🌄', '⚽️', '🍷']"
Museum,"['🏛️', '🎨', '🖼️']"
National Holiday,"['🎆', '🇺🇸', '🗽']"
Climate Change Mitigation,"['🌍', '⚠️', '♻️', '🌱']"
The Alps,"['🏔️', '⛷️', '🧀', '🏞️', '❄️']"
Kathmandu,"['🇳🇵', '🏔️', '🛕', '🏙️', '🧘‍♂️']"
VR / AR,"['🕶️', '🎮', '💻', '🤖', '🌐']"
Electric Grid,"['⚡️', '🔌', '🏭', '🔋', '✅']"
Digital Nomad,"['💻', '✈️', '🌎', '🎒', '📶']"
Telemedicine,"['📱', '🏥', '💊']"
Industry 4.0,"['🏭', '🤖', '🌐', '📡', '✅']"
Automation,"['🤖', '⚙️', '🔄',  '🏭']"
Energy Efficiency,"['💡', '⚡️', '📉',  '🌍']"
Mental Health Support,"['🧠', '❤️', '👥']"
Wildlife Trafficking,"['🚫', '🐘', '🐆', '💀', '🚓']"
Investment,"['💰', '📈', '💹', '💼', '🏦']"
Electric Grid,"['⚡️', '🏭', '🔌']"
Streaming Platforms,"['📺', '🎬', '💻',  '🌐']"
Robotics,"['🤖', '🦾', '⚙️',  '🏭']"
Mongolia 🇲🇳,"['🇲🇳', '🏜️', '🐎', '🐫', '🏕️']"
Medical Diagnostics,"['🏥', '🩺', '🔬']"
Greenland 🇬🇱,"['🇬🇱', '❄️', '🐧', '🐋', '🏔️']"
Maritime Trade,"['🚢', '⚓️', '📦', '🌍', '💱']"
Facial Recognition,"['🧑‍🦰', '👁️', '📸']"
Healthcare workers vaccinated in rural clinics.,"['💉', '🏥', '🩺']"
Language Learning,"['🌐', '🗣️', '📚', '📖', '🎓']"
Census,"['📝', '🧑‍🤝‍🧑', '📊']"
Ambulance,"['🚑', '🏥', '🕒']"
Water Conservation,"['💧', '🚰', '🌱', '♻️', '✅']"
E-Commerce,"['🛒', '📦', '📱', '🌐']"
Data Breach,"['📂', '🚫', '🔓']"
Agritech,"['🚜', '🌾', '📱', '🌱', '✅']"
Energy Crisis,"['⚡️', '🚫', '🛢️', '📉', '🌍']"
Smart City,"['🏙️', '📡', '💡']"
Valletta,"['🇲🇹', '🏰', '🌊', '🐟', '⛪️']"
Cairo,"['🏜️', '🏺', '🐫', '🕌', '🏛️']"
Crop Harvesting,"['🌾', '🌽', '🚜']"
Contactless Payment,"['📱', '💳', '👋',   '🌐']"
Cloud Computing,"['☁️', '💻', '🌐', '📊', '🚀']"
Online fitness programs become global trend.,"['🏃‍♂️', '📱', '🌍']"
Smartphone,"['📱', '💬', '📲']"
AI,"['🤖', '🧠', '📊', '💡', '💻']"
Human Rights,"['🤝', '⚖️', '🕊️', '👫', '🌍']"
Space Tech,"['🚀', '🛰️', '🔭', '🌌', '🪐']"
Reykjavik,"['🇮🇸', '❄️', '🌋', '🏙️', '🐋']"
Nanotechnology,"['🧬', '🔬', '⚛️',  '📏']"
Blockchain,"['⛓️', '🪙', '💻', '📜']"
Coffee,"['☕️', '🫘', '🥐', '☀️', '🇮🇹']"
Mars mission tests new life support systems.,"['🚀', '🔴', '🏥']"
EV Charging Station,"['⚡️', '🔌', '🚗']"
Genetic Engineering,"['🧬', '✂️', '⚗️']"
Urban Farming,"['🌿', '🏙️', '🚜', '🌱', '✅']"
Fintech,"['💸', '📱', '📊', '🏦']"
Nigeria 🇳🇬,"['🇳🇬', '🥁', '🏞️', '🐘', '🌽', '🏟️']"
Cloud Storage,"['☁️', '💾', '📤', '📥', '🔒']"
Hospital,"['🏥', '🏨', '💉', '🩺', '🧑‍⚕️']"
Green Architecture,"['🏢', '🌱', '🏙️', '♻️']"
Southeast Asia,"['🛕', '🏖️', '🌴', '🍜', '🐒']"
Pharmaceuticals,"['💊', '🧪', '🏥']"
Sports,"['⚽️', '🏀', '🏆']"
Pandemic Response,"['🦠', '🏥', '💉', '😷', '🚑']"
E-Commerce,"['🛒', '📦', '💳']"
Smart Home,"['🏠', '📱', '💡', '🔒', '📶']"
Fast Fashion,"['👚', '👕', '🛍️', '♻️', '✅']"
Logistics and Delivery,"['🚛', '📦', '✈️', '🚚', '✅']"
Cape Town,"['🏞️', '🐧', '🌊', '🍷', '🦓']"
Tehran,"['🇮🇷', '🕌', '🏜️', '🏙️', '🏺']"
Dushanbe,"['🇹🇯', '🏔️', '🏞️', '🏙️', '🕌']"
Augmented Reality (AR),"['🕶️', '📱', '🌐']"
Tashkent,"['🇺🇿', '🕌', '🏙️', '🏜️', '🏰']"
EV Charging Stations,"['⚡️', '🔌', '🚗']"
Drought Management,"['☀️', '💧', '🚰', '🌱', '🛟']"
Ocean Cleanup,"['🌊', '🐟', '♻️']"
E-commerce boom fuels warehouse automation.,"['🛒', '🤖', '🚚']"
Environmental Regulation,"['📜', '🌍', '🛡️', '♻️']"
Paraguay 🇵🇾,"['🇵🇾', '🌽', '🏞️', '🐦', '🐄']"
Wildlife conservation protects endangered species.,"['🐼', '🐘', '🌳']"
Ransomware,"['💻', '💣', '🪙']"
Astronaut Training,"['👨‍🚀', '🏋️‍♂️', '🛰️']"
Public Safety,"['🚔', '🚑', '🚒']"
Deforestation slows down due to stricter regulations.,"['🌳', '🛑', '📜']"
Wind Energy,"['🌬️', '⚡️', '🔋', '🌱', '🌍']"
Vienna,"['🎻', '🏛️', '🎨', '🏰', '⛷️']"
Mental Health,"['🧠', '❤️', '🧘']"
Internet of Things (IoT),"['📡', '🌐', '🔗']"
Healthcare,"['🏥', '💉', '🩺']"
Big Data,"['💾', '📊', '📚']"
Phishing,"['🎣', '🖥️', '⚠️']"
Open Data,"['📂', '🌐', '🔓',  '📊']"
Germany 🇩🇪,"['🇩🇪', '🍺', '🚗', '🏰', '🎶', '☀️']"
Epidemiology,"['🦠', '📊', '🌍']"
Venture Capital,"['💰', '🚀', '💡', '📈', '📊']"
Urban Planning,"['🏙️', '🏗️', '📐']"
Artificial Intelligence,"['🤖', '🧠', '💻', '📊', '💡']"
New electric vehicle charging stations in California.,"['🚗', '⚡️', '🔌', '🇺🇸']"
Disaster Relief Operations,"['🚨', '🏥', '🏚️', '🚁', '🤝']"
Space Tourism,"['🚀', '🌌', '👨‍🚀']"
Olympics,"['🏅', '🌍', '🏟️']"
Remote Learning,"['💻', '🎓', '📚', '🏠', '📈']"
Gender Equality,"['👩', '👨', '⚖️', '❤️', '✅']"
Bike Sharing,"['🚲', '🤝', '📱']"
E-Waste Recycling,"['♻️', '📱', '🖥️', '🗑️', '✅']"
Iceland 🇮🇸,"['🇮🇸', '❄️', '🌋', '🐋', '🏔️']"
Stock Market,"['📈', '📉', '💹']"
Social Media Analytics,"['📊', '🐦', '📱', '🔍', '✅']"
DNA Sequencing,"['🧬', '🔬', '📊']"
Marathon,"['🏃‍♂️', '🏁', '👟']"
Earthquake early warning system saves lives in Mexico.,"['🌎', '⚡️', '🏚️', '🇲🇽']"
3D Printing,"['🖨️', '🧱', '⚙️',  '💡']"
Tourism,"['✈️', '🗺️', '🧳', '🏖️', '📸', '🌍']"
Indonesia 🇮🇩,"['🇮🇩', '🏖️', '🗿', '🐒', '🌋', '🛕']"
Crowdfunding,"['💸', '🤝', '💻', '🌍', '✅']"
Jordan 🇯🇴,"['🇯🇴', '🏜️', '🏛️', '🐫', '🏞️']"
Finance,"['💰', '💸', '🏦', '📈', '📉']"
Virtual Reality Education,"['🕶️', '🎮', '📚', '👩‍🏫', '✅']"
Kingston,"['🇯🇲', '🎶', '🏖️', '🌴', '🍹']"
Entrepreneur Incubator,"['🚀', '🏢', '💡',  '📈']"
Scientists develop biodegradable packaging for food.,"['📦', '♻️', '🌱']"
Zoo Conservation,"['🦒', '🦓', '🦍', '🏞️', '📚']"
The Balkans,"['🏔️', '🏰', '🍷', '🕊️', '🏞️']"
Eco-tourism,"['🏕️', '🌲', '🛶', '🦋', '📸']"
Solar Power,"['☀️', '🔋', '⚡️']"
Internet of Things,"['🌐', '📡', '📱', '🏠', '💡']"
E-Governance,"['🏛️', '💻', '📜',  '🌐']"
Genetic engineering increases crop yields in India.,"['🧬', '🌾', '🇮🇳']"
Democracy,"['🗳️', '🤝', '🕊️']"
Drought,"['☀️', '💧', '🌵']"
Banking,"['🏦', '💰', '💳', '📈', '✅']"
Football,"['⚽️', '🥅', '🏟️']"
Electric Mobility,"['🚗', '⚡️', '🚲', '🛴', '🔋']"
Entrepreneurship,"['💼', '🚀', '💡', '📊', '📈']"
Flood Control,"['🌊', '🚧', '🏞️', '💦', '🛠️']"
Water Conservation,"['💧', '🚰', '🌱']"
Mexico 🇲🇽,"['🇲🇽', '🌮', '🎉', '🏜️', '🪅', '🎺']"
Islamabad,"['🇵🇰', '🕌', '🏞️', '🏙️', '🍚']"
Content Creators,"['👨‍💻', '🎙️', '📸', '🎨', '✅']"
Earthquake,"['🌎', '⚡️', '🏚️']"
Theme Park,"['🎢', '🎡', '🎠']"
Carbon Offset,"['🌳', '💰', '🌍']"
Blockchain boosts transparency in global trade.,"['⛓️', '🌍', '📦']"
Port-au-Prince,"['🇭🇹', '🏝️', '🥁', '⛪️', '🏞️']"
Los Angeles,"['🌴', '🎬', '🏄‍♂️', '🌞', '🎤']"
Savings Account,"['💰', '🏦', '🐖']"
Museums,"['🏛️', '🖼️', '🗿', '🎨', '📚']"
Marine Conservation,"['🐠', '🌊', '🐬', '♻️', '✅']"
Green Energy,"['🌱', '🔋', '⚡️', '🌞', '🌍']"
Deforestation Monitoring,"['🛰️', '🌳', '🚫', '📉', '🌍']"
Digital Divide,"['📶', '🚫', '🌍', '👥', '⚠️']"
The Andes,"['🏔️', '🦙', '🌄', '⛏️', '🎒']"
Organ Transplant,"['🫀', '🏥', '🏃‍♂️']"
Quito,"['🇪🇨', '🌋', '🏙️', '🦜', '🏞️']"
Robotics,"['🤖', '⚙️', '🏭']"
Urbanization,"['🏙️', '🚇', '🏗️', '🌆', '🌍']"
Agriculture Technology,"['🚜', '🌾', '📱', '🌱', '🛰️']"
Hospitality Industry,"['🏨', '🛏️', '🍽️',   '🌐']"
Zurich,"['🏞️', '🧀', '⛷️', '💰', '🏔️']"
The Sahara,"['🏜️', '🐫', '☀️', '🏞️', '⛺️']"
Online Certification,"['📜', '💻', '🎓',  '🌐']"
Dog,"['🐶', '🦴', '🐕', '❤️', '🏡']"
Kabul,"['🇦🇫', '🏔️', '🕌', '🐏', '🏙️']"
Wedding Ceremony,"['👰', '💍', '💒']"
New Zealand 🇳🇿,"['🇳🇿', '🐑', '🏔️', '🥝', '🌊', '🏉']"
Astronomy,"['🔭', '🌌', '⭐']"
Peace Treaty,"['✌️', '🤝', '📜', '🕊️']"
E-Learning Platforms,"['💻', '🎓', '📚', '🌐']"
Beijing,"['🏯', '🐉', '🏙️', '🥟', '🎇']"
Pakistan 🇵🇰,"['🇵🇰', '🕌', '🏔️', '🐐', '🍚']"
Hotel,"['🏨', '🛏️', '🛎️']"
Ocean Pollution,"['🌊', '🐠', '🗑️', '🚯', '🌍']"
Telemedicine,"['🏥', '📱', '💊', '🩺']"
Digital Marketing,"['📣', '💻', '📊',  '🌐']"
Blockchain,"['⛓️', '🪙', '💻']"
Nuclear Energy,"['☢️', '⚛️', '⚡️', '🏭', '✅']"
Deep Learning,"['🧠', '🔗', '💻', '📚']"
Turkey 🇹🇷,"['🇹🇷', '🕌', '🏰', '🍢', '☕️']"
Court Trial,"['⚖️', '🏛️', '📜']"
Astronomy,"['🔭', '🌌', '🪐', '⭐', '🌙']"
Cloud Computing,"['☁️', '💻', '📡']"
Space Exploration,"['🚀', '🛰️', '🌌']"
Iran 🇮🇷,"['🇮🇷', '🕌', '🏜️', '🏺', '🍇']"
Switzerland 🇨🇭,"['🇨🇭', '🏔️', '⛷️', '⌚️', '🧀', '🕊️']"
Smart home devices manage energy consumption.,"['🏠', '💡', '📱']"
Wellness Apps,"['📱', '🧘‍♀️', '💓', '🌱']"
Wildlife Protection,"['🦁', '🐘', '🐼']"
Colombia 🇨🇴,"['🇨🇴', '☕️', '🦜', '🌴', '🏔️', '💃']"
Museum Tour,"['🏛️', '🎧', '📜']"
Fair Trade Products,"['☕️', '🍫', '🤝', '🌍']"
Aquaponics,"['🐟', '🌿', '💧', '🛠️']"
Blockchain,"['🪙', '🔗', '💻', '🏦', '🌐']"
Electric trucks begin delivering goods to supermarkets.,"['🚚', '⚡️', '🛒']"
Tel Aviv,"['🇮🇱', '🏖️', '🏙️', '📈', '🍷']"
Art and Culture,"['🎨', '🖌️', '🎭', '🎼', '🏛️']"
Cybersecurity experts prevent ransomware attacks.,"['🔒', '🛡️', '💻']"
Streaming,"['📺', '🎬', '🍿', '🎧', '💻']"
Mars Mission,"['🚀', '🔴', '🛰️']"
Technology,"['💻', '📱', '🌐', '⚙️', '🤖']"
Cinema and Film,"['🎥', '🍿', '🎬', '🏆', '🎞️']"
Customer Feedback,"['📝', '⭐️', '📊',  '🗣️']"
Machine Learning,"['🤖', '📈', '💻', '📚', '🔢']"
Traditional Dance,"['💃', '🕺', '🎶', '🎭', '👘']"
Street Art,"['🎨', '🖌️', '🏙️', '🧱', '✍️']"
Classical Music,"['🎻', '🎹', '🎼', '🎺', '🎷']"
Film Festivals,"['🎥', '🍿', '🏆', '🌟', '🎬']"
Pottery and Ceramics,"['🏺', '🌀', '🧑‍🎨', '🖐️', '🔥']"
Literature,"['📚', '🖋️', '📖', '🧠', '🖼️']"
Theater,"['🎭', '🎟️', '🕴️', '🎤', '🎪']"
Folk Music,"['🎵', '🪕', '🥁', '🎶', '🌍']"
Graffiti,"['🧱', '🖌️', '🎨', '🏙️', '✍️']"
Calligraphy,"['🖋️', '✒️', '📜', '🖼️', '🧑‍🎨']"
Sculpture,"['🗿', '🪨', '🔨', '🧑‍🎨', '🖼️']"
Opera,"['🎭', '🎼', '🎤', '🎶', '👑']"
Photography,"['📸', '🖼️', '🌄', '👁️', '🎞️']"
Ballet,"['🩰', '🎭', '🎶', '💃', '🌟']"
Jazz Music,"['🎷', '🎹', '🎵', '🎤', '🎶']"
Indigenous Art,"['🌾', '🖼️', '🎨', '🌍', '🧑‍🎨']"
Modern Art,"['🖼️', '🎨', '🖌️', '🧑‍🎨', '🌀']"
Poetry,"['📜', '🖋️', '📖', '🧠', '🎭']"
Circus,"['🎪', '🤹', '🎭', '🎟️', '🎠']"
Fashion Design,"['👗', '🧵', '🪡', '🧑‍🎨', '👠']"
Digital Art,"['🖥️', '🎨', '🖼️', '🧑‍🎨', '🌐']"
Mural Painting,"['🎨', '🧱', '🏙️', '🧑‍🎨', '🖌️']"
Puppetry,"['🎭', '🧸', '🎟️', '🧑‍🎨', '🎪']"
Cultural Festivals,"['🎉', '🎭', '🎶', '🎨', '🌍']"
Origami,"['📄', '🦢', '✂️', '🧑‍🎨', '🎨']"
Comic Books,"['📘', '🖌️', '🦸', '🎨', '🧑‍🎨']"
Anime,"['📺', '🎨', '🖼️', '🧑‍🎨', '🇯🇵']"
Carnivals,"['🎪', '🎭', '🎉', '🎟️', '🎠']"
Mosaic Art,"['🧩', '🖼️', '🎨', '🧑‍🎨', '🏛️']"
Fashion Shows,"['👗', '👠', '🧑‍🎨', '🎟️', '🌟']"
