MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,ModelYear,Origin,Manufacturer,model
25.4,5-6 Cyl.,168,116,2900,12.6,1981,Asia,toyota,cressida
24.2,5-6 Cyl.,146,120,2930,13.8,1981,Asia,datsun,810 maxima
22.4,5-6 Cyl.,231,110,3415,15.8,1981,North America,buick,century
26.6,7-8 Cyl.,350,105,3725,19,1981,North America,oldsmobile,cutlass ls
20.2,5-6 Cyl.,200,88,3060,17.1,1981,North America,ford,granada gl
17.6,5-6 Cyl.,225,85,3465,16.6,1981,North America,chrysler,lebaron salon
28,3-4 Cyl.,112,88,2605,19.6,1982,North America,chevrolet,cavalier
27,3-4 Cyl.,112,88,2640,18.6,1982,North America,chevrolet,cavalier wagon
34,3-4 Cyl.,112,88,2395,18,1982,North America,chevrolet,cavalier 2-door
31,3-4 Cyl.,112,85,2575,16.2,1982,North America,pontiac,j2000 se hatchback
29,3-4 Cyl.,135,84,2525,16,1982,North America,dodge,aries se
27,3-4 Cyl.,151,90,2735,18,1982,North America,pontiac,phoenix
24,3-4 Cyl.,140,92,2865,16.4,1982,North America,ford,fairmont futura
36,3-4 Cyl.,105,74,1980,15.3,1982,Europe,volkswagen,rabbit l
37,3-4 Cyl.,91,68,2025,18.2,1982,Asia,mazda,glc custom l
31,3-4 Cyl.,91,68,1970,17.6,1982,Asia,mazda,glc custom
38,3-4 Cyl.,105,63,2125,14.7,1982,North America,plymouth,horizon miser
36,3-4 Cyl.,98,70,2125,17.3,1982,North America,mercury,lynx l
36,3-4 Cyl.,120,88,2160,14.5,1982,Asia,nissan,stanza xe
36,3-4 Cyl.,107,75,2205,14.5,1982,Asia,honda,accord
34,3-4 Cyl.,108,70,2245,16.9,1982,Asia,toyota,corolla
38,3-4 Cyl.,91,67,1965,15,1982,Asia,honda,civic
32,3-4 Cyl.,91,67,1965,15.7,1982,Asia,honda,civic (auto)
38,3-4 Cyl.,91,67,1995,16.2,1982,Asia,datsun,310 gx
25,5-6 Cyl.,181,110,2945,16.4,1982,North America,buick,century limited
38,5-6 Cyl.,262,85,3015,17,1982,North America,oldsmobile,cutlass ciera (diesel)
26,3-4 Cyl.,156,92,2585,14.5,1982,North America,chrysler,lebaron medallion
22,5-6 Cyl.,232,112,2835,14.7,1982,North America,ford,granada l
32,3-4 Cyl.,144,96,2665,13.9,1982,Asia,toyota,celica gt
36,3-4 Cyl.,135,84,2370,13,1982,North America,dodge,charger 2.2
27,3-4 Cyl.,151,90,2950,17.3,1982,North America,chevrolet,camaro
27,3-4 Cyl.,140,86,2790,15.6,1982,North America,ford,mustang gl
44,3-4 Cyl.,97,52,2130,24.6,1982,Europe,volkswagen,pickup
32,3-4 Cyl.,135,84,2295,11.6,1982,North America,dodge,rampage
28,3-4 Cyl.,120,79,2625,18.6,1982,North America,ford,ranger
31,3-4 Cyl.,119,82,2720,19.4,1982,North America,chevrolet,s-10
