id,emoji,name,description,keywords,sentiment_label,sentiment_score
169,🧑,Person,An adult with no gender specified. This may be used as a gender-inclusive alternative to the man or woman emoji.,adult gender specified man woman emoji used,NEGATIVE,0.9942492246627808
170,👱,Person: Blond Hair,"A person with blond hair, which tends to appear as yellow. Displayed as a man on all platforms, this emoji keeps blond hair no matter which skin tone is chosen.",emoji keeps blond man platforms person hair,NEGATIVE,0.9935245513916016
171,👨,Man,"A man of adult age, shown on some platforms with a moustache.",shown platforms moustache man adult age,NEGATIVE,0.922016978263855
172,🧔,Person: Beard,A person with a visible beard. Intended to be gender neutral from 2021. New gender-specific options for a woman with a beard or man with a beard were approved in Emoji 13.1.,beard intended gender approved emoji options woman man visible person,NEGATIVE,0.9972098469734192
173,👨‍🦰,🦰 Man: Red Hair,"A man with red hair. Sometimes described as ginger, orange, copper, or auburn.",man red hair described ginger orange,NEGATIVE,0.782734215259552
174,👨‍🦱,🦱 Man: Curly Hair,"The Man: Curly Hair emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and 🦱 Curly Hair. These display as a single emoji on supported platforms.",curly hair emoji zwj sequence man single,NEGATIVE,0.9980521202087402
175,👨‍🦳,🦳 Man: White Hair,"The Man: White Hair emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and 🦳 White Hair. These display as a single emoji on supported platforms.",white hair emoji zwj sequence man single,NEGATIVE,0.9981462955474854
176,👨‍🦲,🦲 Man: Bald,"The Man: Bald emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and 🦲 Bald. These display as a single emoji on supported platforms.",man bald emoji zwj sequence single,NEGATIVE,0.9991663694381714
177,👩,Woman,A woman of adult age. Differentiated from the girl emoji by the lack of pig-tails in her hair.,differentiated girl emoji lack pig woman adult age,POSITIVE,0.9712778329849243
178,👩‍🦰,🦰 Woman: Red Hair,"A woman with red hair. Sometimes described as ginger, orange, copper, or auburn.",woman red hair described ginger orange,NEGATIVE,0.660297691822052
179,🧑‍🦰,🦰 Person: Red Hair,"The Person: Red Hair emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 🦰 Red Hair. These display as a single emoji on supported platforms.",red hair emoji zwj sequence person single,NEGATIVE,0.9981778860092163
180,👩‍🦱,🦱 Woman: Curly Hair,"The Woman: Curly Hair emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and 🦱 Curly Hair. These display as a single emoji on supported platforms.",curly hair emoji zwj sequence woman single,NEGATIVE,0.9979536533355713
181,🧑‍🦱,🦱 Person: Curly Hair,"The Person: Curly Hair emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 🦱 Curly Hair. These display as a single emoji on supported platforms.",curly hair emoji zwj sequence person,NEGATIVE,0.9980995059013367
182,👩‍🦳,🦳 Woman: White Hair,"The Woman: White Hair emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and 🦳 White Hair. These display as a single emoji on supported platforms.",white hair emoji zwj sequence woman single,NEGATIVE,0.9980600476264954
183,🧑‍🦳,🦳 Person: White Hair,"The Person: White Hair emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 🦳 White Hair. These display as a single emoji on supported platforms.",white hair emoji zwj sequence person single,NEGATIVE,0.9983277916908264
184,👩‍🦲,🦲 Woman: Bald,"The Woman: Bald emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and 🦲 Bald. These display as a single emoji on supported platforms.",woman bald emoji zwj sequence single display,NEGATIVE,0.9992806315422058
185,🧑‍🦲,🦲 Person: Bald,"The Person: Bald emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 🦲 Bald. These display as a single emoji on supported platforms.",person bald emoji zwj sequence single,NEGATIVE,0.9994373917579651
186,👱‍♀️,♀️ Woman: Blond Hair,The female version of the 👱 Person With Blond Hair emoji.,blond hair emoji female version person,NEGATIVE,0.9352901577949524
187,👱‍♂️,♂️ Man: Blond Hair,The male version of the 👱 Person With Blond Hair emoji. Currently identical in appearance to the non-gendered base emoji,gendered base emoji blond hair currently identical,NEGATIVE,0.9652356505393982
188,🧓,Older Person,An older adult with no gender specified. This may be used as a gender-inclusive alternative to the older man or older woman emoji.,older adult gender woman emoji specified,NEGATIVE,0.9934837222099304
189,👴,Old Man,"An elderly man gray (grey) hair, and visible wrinkles. Balding in many versions of this artwork, such as Apple and Microsoft designs.",elderly man gray balding versions artwork grey hair apple microsoft,NEGATIVE,0.9980200529098511
190,👵,Old Woman,"An elderly woman with gray (grey) hair, and visible wrinkles. Wears glasses on some platforms.",elderly woman gray wrinkles wears glasses grey platforms,NEGATIVE,0.9929665327072144
191,🙍,Person Frowning,"An upset person, frowning with dismay. Gender is not specified, but generally shown as a woman.",frowning dismay gender specified upset person,NEGATIVE,0.9970681071281433
192,🙍‍♂️,♂️ Man Frowning,The male version of the 🙍 Person Frowning emoji.,person frowning emoji version male,NEGATIVE,0.9960069060325623
193,🙍‍♀️,♀️ Woman Frowning,The female version of the 🙍 Person Frowning emoji. Currently identical in appearance to the non-gendered base emoji.,person frowning emoji currently gendered base identical version,NEGATIVE,0.987652063369751
194,🙎,Person Pouting,"A person with a serious expression, showing mild displeasure with the situation. Could be considered to be reserved or stoic in response, as this person is not visible angry.",person visible angry stoic response showing mild displeasure situation considered,NEGATIVE,0.9750655889511108
195,🙎‍♂️,♂️ Man Pouting,The male version of the 🙎 Person With Pouting Face emoji.,pouting face emoji person male version,NEGATIVE,0.996615469455719
196,🙎‍♀️,♀️ Woman Pouting,The female version of the 🙎 Person With Pouting Face emoji. Currently identical in appearance to the non-gendered base emoji.,pouting face emoji gendered base currently identical female version,NEGATIVE,0.9917197227478027
197,🙅,Person Gesturing No,A person with arms crossed forming an ‘X’ to indicate ‘no’ or ‘no good’. This motion is used on the TV game show Deal or No Deal to indicate ‘No Deal’.,deal indicate arms crossed person forming,NEGATIVE,0.9996652603149414
198,🙅‍♂️,♂️ Man Gesturing No,A woman with arms crossed forming an ‘X’ to indicate ‘no’ or ‘no good’. This motion is used on the TV game show Deal or No Deal to indicate ‘No Deal’. Intended to be gender-neutral but shown as a woman on most platforms.,woman arms crossed deal indicate neutral shown gender,NEGATIVE,0.9995854496955872
199,🙅‍♀️,♀️ Woman Gesturing No,A woman with arms crossed forming an ‘X’ to indicate ‘no’ or ‘no good’. This motion is used on the TV game show Deal or No Deal to indicate ‘No Deal’. Intended to be gender-neutral but shown as a woman on most platforms.,woman arms crossed deal indicate neutral shown gender,NEGATIVE,0.9995854496955872
200,🙆,Person Gesturing OK,"A person with arms above their head, making an ‘OK’ sign (circle) with the whole body. No gender is specified.",circle body gender person arms head sign specified,POSITIVE,0.9841415286064148
201,🙆‍♂️,♂️ Man Gesturing OK,The male version of the 🙆 Face With OK Gesture emoji.,gesture emoji ok face male version,NEGATIVE,0.8988016247749329
202,🙆‍♀️,♀️ Woman Gesturing OK,The female version of the 🙆 Face With OK Gesture emoji. Currently identical in appearance to the non-gendered base emoji.,gendered base emoji female version face gesture currently identical ok,NEGATIVE,0.9106959700584412
203,💁,Person Tipping Hand,A person tipping their hand by their shoulder as if they’re carrying a tray of drinks or flipping their hair. Originally called Information Desk Person.,person tipping hand desk information shoulder called,NEGATIVE,0.9918248057365417
204,💁‍♂️,♂️ Man Tipping Hand,A man tipping his hand by his shoulder as if he’s carrying a tray of drinks or flipping his hair.,man tipping hand shoulder tray drinks flipping hair,NEGATIVE,0.9551817774772644
205,💁‍♀️,♀️ Woman Tipping Hand,A woman tipping her hand by her shoulder as if she’s carrying a tray of drinks or flipping her hair.,woman tipping hand shoulder tray drinks flipping hair,NEGATIVE,0.8189541697502136
206,🙋,Person Raising Hand,"A person with its hand in the air, as if it wants to ask or answer a question.",person hand air wants ask,NEGATIVE,0.9159733653068542
207,🙋‍♂️,♂️ Man Raising Hand,The man version of the 🙋 Happy Person Raising One Hand emoji.,raising hand emoji happy person man version,NEGATIVE,0.5260091423988342
208,🙋‍♀️,♀️ Woman Raising Hand,The female version of the 🙋 Happy Person Raising One Hand emoji. Currently identical in appearance to the non-gendered base emoji.,gendered base emoji raising hand currently identical female version happy,NEGATIVE,0.9300543069839478
209,🧏,Deaf Person,"A person gesturing with their index finger between ear and mouth, used as a deaf sign in American Sign Language (ASL) and a number of other global sign languages. See also 🦻 Ear With Hearing Aid.",sign language asl languages ear deaf american used,NEGATIVE,0.9739018082618713
210,🧏‍♂️,♂️ Deaf Man,"The Deaf Man emoji is a ZWJ sequence combining 🧏 Deaf Person, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",deaf man emoji zwj sequence supported,NEGATIVE,0.9987183809280396
211,🧏‍♀️,♀️ Deaf Woman,"The Deaf Woman emoji is a ZWJ sequence combining 🧏 Deaf Person, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",deaf woman emoji zwj sequence supported,NEGATIVE,0.9986452460289001
212,🙇,Person Bowing,"A person bowing deeply which is known as dogeza in Japan. Used to express a sincere apology, or to request a large favour.",person bowing deeply known dogeza japan,NEGATIVE,0.9746707677841187
213,🙇‍♂️,♂️ Man Bowing,The male version of the 🙇 Person Bowing Deeply emoji. Currently identical in appearance to the non-gendered base emoji.,bowing deeply emoji gendered base currently identical version person,NEGATIVE,0.973909318447113
214,🙇‍♀️,♀️ Woman Bowing,The female version of the 🙇 Person Bowing Deeply emoji.,bowing deeply emoji person version,NEGATIVE,0.8806499242782593
215,🤦,Person Facepalming,"A hand shown pressing against the head of a person, commonly written as facepalm. Used to display frustration or embarrassment at the ineptitude of a person or situation.",commonly written facepalm used display hand shown pressing,NEGATIVE,0.9990243911743164
216,🤦‍♂️,♂️ Man Facepalming,"The Man Facepalming emoji is a ZWJ sequence combining 🤦 Person Facepalming, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",man facepalming emoji zwj sequence display single,NEGATIVE,0.9985924363136292
217,🤦‍♀️,♀️ Woman Facepalming,"The Woman Facepalming emoji is a ZWJ sequence combining 🤦 Person Facepalming, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",woman facepalming emoji zwj sequence display single,NEGATIVE,0.9984048008918762
218,🤷,Person Shrugging,"A person shrugging their shoulders to indicate a lack of knowledge about a particular topic, or a lack of care about the result of a situation.",person shrugging shoulders indicate lack knowledge,NEGATIVE,0.999727189540863
219,🤷‍♂️,♂️ Man Shrugging,"The Man Shrugging emoji is a ZWJ sequence combining 🤷 Person Shrugging, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",man shrugging emoji zwj display single sequence supported,NEGATIVE,0.9989780187606812
220,🤷‍♀️,♀️ Woman Shrugging,"The Woman Shrugging emoji is a ZWJ sequence combining 🤷 Person Shrugging, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",woman shrugging emoji zwj display single sequence supported,NEGATIVE,0.9989514350891113
221,🧑‍⚕️,⚕️ Health Worker,"The Health Worker emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and ⚕️ Medical Symbol. These display as a single emoji on supported platforms.",health worker emoji zwj sequence display single,NEGATIVE,0.9981751441955566
222,👨‍⚕️,⚕️ Man Health Worker,"A man working in the field of health care. This may be used to represent a doctor, nurse, or pharmacist.",man working field used represent doctor nurse pharmacist health care,POSITIVE,0.960287868976593
223,👩‍⚕️,⚕️ Woman Health Worker,"A woman working in the field of health care. This may be used to represent a doctor, nurse, or pharmacist.",nurse pharmacist doctor woman working field represent health care,POSITIVE,0.9053997993469238
224,🧑‍🎓,🎓 Student,"The Student emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 🎓 Graduation Cap. These display as a single emoji on supported platforms.",student emoji zwj sequence display single supported,NEGATIVE,0.998187243938446
225,👨‍🎓,🎓 Man Student,"The Man Student emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and 🎓 Graduation Cap. These display as a single emoji on supported platforms.",man student emoji zwj sequence display single supported,NEGATIVE,0.9980199337005615
226,👩‍🎓,🎓 Woman Student,"The Woman Student emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and 🎓 Graduation Cap. These display as a single emoji on supported platforms.",woman student emoji zwj sequence display single,NEGATIVE,0.9980942606925964
227,🧑‍🏫,🏫 Teacher,A person standing in front of a chalkboard (aka blackboard) with the intention of teaching a class.,person standing chalkboard aka blackboard intention teaching class,NEGATIVE,0.9949518442153931
228,👨‍🏫,🏫 Man Teacher,A man standing in front of a chalkboard (aka blackboard) with the intention of teaching a class.,man standing chalkboard blackboard intention teaching aka class,NEGATIVE,0.9956761002540588
229,👩‍🏫,🏫 Woman Teacher,A woman standing in front of a chalkboard (aka blackboard) with the intention of teaching a class.,woman standing chalkboard aka blackboard intention teaching class,NEGATIVE,0.9949131011962891
230,🧑‍⚖️,⚖️ Judge,"The Judge emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and ⚖️ Balance Scale. These display as a single emoji on supported platforms.",judge emoji zwj display single sequence supported,NEGATIVE,0.9972373247146606
231,👨‍⚖️,⚖️ Man Judge,"The Man Judge emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and ⚖️ Balance Scale. These display as a single emoji on supported platforms.",man judge emoji zwj display single sequence,NEGATIVE,0.9967237114906311
232,👩‍⚖️,⚖️ Woman Judge,"The Woman Judge emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and ⚖️ Balance Scale. These display as a single emoji on supported platforms.",woman judge emoji zwj sequence display single,NEGATIVE,0.9968616962432861
233,🧑‍🌾,🌾 Farmer,"The Farmer emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 🌾 Sheaf of Rice. These display as a single emoji on supported platforms.",farmer emoji zwj sequence display single supported,NEGATIVE,0.9987433552742004
234,👨‍🌾,🌾 Man Farmer,"The Man Farmer emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and 🌾 Sheaf of Rice. These display as a single emoji on supported platforms.",man farmer emoji zwj sequence display single,NEGATIVE,0.9985324144363403
235,👩‍🌾,🌾 Woman Farmer,"The Woman Farmer emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and 🌾 Sheaf of Rice. These display as a single emoji on supported platforms.",woman farmer emoji zwj sequence display single,NEGATIVE,0.9984862804412842
236,🧑‍🍳,🍳 Cook,"The Cook emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 🍳 Cooking. These display as a single emoji on supported platforms.",cook emoji zwj sequence single display supported,NEGATIVE,0.9976558685302734
237,👨‍🍳,🍳 Man Cook,"The Man Cook emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and 🍳 Cooking. These display as a single emoji on supported platforms.",man cook emoji zwj sequence display single,NEGATIVE,0.9975780844688416
238,👩‍🍳,🍳 Woman Cook,"The Woman Cook emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and 🍳 Cooking. These display as a single emoji on supported platforms.",woman cook emoji zwj sequence single display,NEGATIVE,0.997624933719635
239,🧑‍🔧,🔧 Mechanic,"The Mechanic emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 🔧 Wrench. These display as a single emoji on supported platforms.",mechanic emoji zwj display single sequence supported,NEGATIVE,0.9975257515907288
240,👨‍🔧,🔧 Man Mechanic,"The Man Mechanic emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and 🔧 Wrench. These display as a single emoji on supported platforms.",man mechanic emoji zwj sequence display single supported,NEGATIVE,0.997464656829834
241,👩‍🔧,🔧 Woman Mechanic,"The Woman Mechanic emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and 🔧 Wrench. These display as a single emoji on supported platforms.",woman mechanic emoji zwj sequence display single supported,NEGATIVE,0.997766375541687
242,🧑‍🏭,🏭 Factory Worker,"The Factory Worker emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 🏭 Factory. These display as a single emoji on supported platforms.",factory worker emoji zwj sequence display single supported,NEGATIVE,0.9984332919120789
243,👨‍🏭,🏭 Man Factory Worker,"The Man Factory Worker emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and 🏭 Factory. These display as a single emoji on supported platforms.",factory worker emoji zwj sequence display single supported,NEGATIVE,0.9981354475021362
244,👩‍🏭,🏭 Woman Factory Worker,"The Woman Factory Worker emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and 🏭 Factory. These display as a single emoji on supported platforms.",factory worker emoji zwj sequence woman,NEGATIVE,0.9981610178947449
245,🧑‍💼,💼 Office Worker,"The Office Worker emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 💼 Briefcase. These display as a single emoji on supported platforms.",office worker emoji zwj sequence display single supported,NEGATIVE,0.9982473850250244
246,👨‍💼,💼 Man Office Worker,"A man wearing business attire. This may include items such as a shirt, tie, jacket, or headset.",man wearing business attire include items,POSITIVE,0.8395034670829773
247,👩‍💼,💼 Woman Office Worker,"A woman wearing business attire. This may include items such as a shirt, blouse, tie, jacket, or headset.",woman wearing business attire include items,POSITIVE,0.8606901168823242
248,🧑‍🔬,🔬 Scientist,"The Scientist emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 🔬 Microscope. These display as a single emoji on supported platforms.",scientist emoji zwj sequence single display supported,NEGATIVE,0.9973763227462769
249,👨‍🔬,🔬 Man Scientist,"The Man Scientist emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and 🔬 Microscope. These display as a single emoji on supported platforms.",man scientist emoji zwj sequence single display,NEGATIVE,0.9969894289970398
250,👩‍🔬,🔬 Woman Scientist,"The Woman Scientist emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and 🔬 Microscope. These display as a single emoji on supported platforms.",woman scientist emoji zwj sequence single,NEGATIVE,0.9970947504043579
251,🧑‍💻,💻 Technologist,"The Technologist emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 💻 Laptop. These display as a single emoji on supported platforms.",technologist emoji zwj sequence display single supported,NEGATIVE,0.9972124695777893
252,👨‍💻,💻 Man Technologist,"A man behind a computer screen, working in the field of technology.",man computer screen working field technology,POSITIVE,0.9908310174942017
253,👩‍💻,💻 Woman Technologist,"A woman behind a computer screen, working in the field of technology.",woman computer screen working field technology,POSITIVE,0.9943274855613708
254,🧑‍🎤,🎤 Singer,"A singer or rock star generally displayed with a microphone, and sometimes musical notes.",singer rock star microphone musical notes generally displayed,POSITIVE,0.5252067446708679
255,👨‍🎤,🎤 Man Singer,"A man singer or rock star generally displayed with a microphone, and sometimes musical notes.",man singer rock star displayed microphone musical notes,POSITIVE,0.5978415608406067
256,👩‍🎤,🎤 Woman Singer,"A woman singer or rock star generally displayed with a microphone, and sometimes musical notes.",woman singer rock star microphone musical notes displayed,POSITIVE,0.6003217697143555
257,🧑‍🎨,🎨 Artist,"The Artist emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 🎨 Artist Palette. These display as a single emoji on supported platforms.",artist emoji zwj sequence display single supported,NEGATIVE,0.9962831139564514
258,👨‍🎨,🎨 Man Artist,"The Man Artist emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and 🎨 Artist Palette. These display as a single emoji on supported platforms.",man artist emoji zwj sequence display single supported,NEGATIVE,0.9952749013900757
259,👩‍🎨,🎨 Woman Artist,"The Woman Artist emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and 🎨 Artist Palette. These display as a single emoji on supported platforms.",woman artist emoji zwj sequence display single supported,NEGATIVE,0.9954290390014648
260,🧑‍✈️,✈️ Pilot,"The Pilot emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and ✈️ Airplane. These display as a single emoji on supported platforms.",pilot emoji zwj sequence display single supported,NEGATIVE,0.9981977343559265
261,👨‍✈️,✈️ Man Pilot,"The Man Pilot emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and ✈️ Airplane. These display as a single emoji on supported platforms.",man pilot emoji zwj sequence display single,NEGATIVE,0.9977987408638
262,👩‍✈️,✈️ Woman Pilot,"The Woman Pilot emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and ✈️ Airplane. These display as a single emoji on supported platforms.",woman pilot emoji zwj sequence single,NEGATIVE,0.9978933930397034
263,🧑‍🚀,🚀 Astronaut,"The Astronaut emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 🚀 Rocket. These display as a single emoji on supported platforms.",astronaut emoji zwj single display sequence supported,NEGATIVE,0.9977428913116455
264,👨‍🚀,🚀 Man Astronaut,A male astronaut or cosmonaut shown wearing a space suit and helmet.,male astronaut cosmonaut shown space suit helmet wearing,POSITIVE,0.6022084951400757
265,👩‍🚀,🚀 Woman Astronaut,A female astronaut or cosmonaut shown wearing a space suit and helmet.,female astronaut cosmonaut shown space suit helmet wearing,POSITIVE,0.815605103969574
266,🧑‍🚒,🚒 Firefighter,"The Firefighter emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 🚒 Fire Engine. These display as a single emoji on supported platforms.",firefighter emoji zwj sequence display single,NEGATIVE,0.9974428415298462
267,👨‍🚒,🚒 Man Firefighter,"The Man Firefighter emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and 🚒 Fire Engine. These display as a single emoji on supported platforms.",man firefighter emoji zwj sequence display single,NEGATIVE,0.9971771240234375
268,👩‍🚒,🚒 Woman Firefighter,"The Woman Firefighter emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and 🚒 Fire Engine. These display as a single emoji on supported platforms.",woman firefighter emoji zwj sequence single,NEGATIVE,0.9972372055053711
269,👮,Police Officer,A police officer wearing a blue hat with a gold badge or shield in the middle.,police officer wearing blue hat gold badge,POSITIVE,0.694011926651001
270,👮‍♂️,♂️ Man Police Officer,The male version of the 👮 Police Officer emoji. Currently identical in appearance to the non-gendered base emoji.,police officer emoji currently identical gendered base male version,NEGATIVE,0.9767177700996399
271,👮‍♀️,♀️ Woman Police Officer,The female version of the 👮 Police Officer emoji.,police officer emoji female version,NEGATIVE,0.9564927816390991
272,🕵️, Detective,"An undercover investigator, wearing a hat, and sometimes using a magnifying glass to closely inspect evidence. This emoji did not originally recommend emoji modifiers, but a proposal was created to address this.",inspect evidence emoji did investigator wearing hat undercover modifiers proposal,NEGATIVE,0.9953328967094421
273,🕵️‍♂️,‍♂️ Man Detective,The male version of the 🕵 Sleuth or Spy emoji. Currently identical in appearance to the non-gendered base emoji.,sleuth spy emoji gendered base currently male version identical,NEGATIVE,0.9845882058143616
274,🕵️‍♀️,‍♀️ Woman Detective,The female version of the 🕵 Sleuth or Spy emoji.,sleuth spy emoji female version,NEGATIVE,0.9848517775535583
275,💂,Guard,"A British guardsman, known as a foot guard. Wears a tall black hat with a yellow chin-strap. Must look straight ahead at all times, even when tourists attempt to distract them.",british guardsman known foot guard wears tall,POSITIVE,0.9967190623283386
276,💂‍♂️,♂️ Man Guard,The male version of the 💂 Guardsman emoji. Currently identical in appearance to the non-gendered base emoji.,version guardsman emoji currently gendered base identical male,NEGATIVE,0.9616733193397522
277,💂‍♀️,♀️ Woman Guard,The female version of the 💂 Guardsman emoji.,guardsman emoji version female,NEGATIVE,0.9481258392333984
278,🥷,Ninja,"A person dressed as a ninja with a black hood, a mask covering the lower half of their face, and the hilt of a knife or sword emerging from behind their shoulder.",person dressed ninja black hood mask covering,NEGATIVE,0.9481281042098999
279,👷,Construction Worker,A construction worker wearing a hard-hat (safety helmet). Has a high visibility vest or hammer in some variations.,construction worker wearing hard hat safety helmet,NEGATIVE,0.958747386932373
280,👷‍♂️,♂️ Man Construction Worker,The male version of the 👷 Construction Worker emoji. Currently identical in appearance to the non-gendered base emoji.,construction worker emoji currently gendered base identical male version,NEGATIVE,0.9873900413513184
281,👷‍♀️,♀️ Woman Construction Worker,The female version of the 👷 Construction Worker emoji.,construction worker emoji female version,NEGATIVE,0.9865163564682007
282,🤴,Prince,"Male royalty, intended as a gender pair for the princess emoji. Shown as a man with a crown.",male royalty intended gender pair princess emoji shown,NEGATIVE,0.8210326433181763
283,👸,Princess,The face of a princess; a girl or woman wearing a small crown or tiara. Could also be used to represent a Queen or other royalty.,face princess used represent queen small crown tiara girl,POSITIVE,0.8953758478164673
284,👳,Person Wearing Turban,A man wearing a turban; a form of customary headwear worn by Sikhs or Muslims.,man wearing turban form headwear worn sikhs muslims customary,POSITIVE,0.5432621240615845
285,👳‍♂️,♂️ Man Wearing Turban,The male version of the 👳‍♀️ Woman Wearing Turban emoji.,wearing turban emoji woman male version,NEGATIVE,0.9663720726966858
286,👳‍♀️,♀️ Woman Wearing Turban,The female version of the 👳 Man Wearing Turban emoji.,wearing turban emoji man female version,NEGATIVE,0.9541495442390442
287,👲,Person With Skullcap,A person wearing a gua pi mao; a type of Chinese hat. Sometimes referred to as a skullcap.,chinese hat referred type skullcap gua pi mao,NEGATIVE,0.9853377342224121
288,🧕,Woman with Headscarf,"A person (generally depicted as a woman) wearing a headscarf. While the type of  headscarf is not specified, this is most commonly displayed as a woman wearing a hijab.",woman wearing headscarf hijab generally depicted type commonly displayed,NEGATIVE,0.9280742406845093
289,🤵,Person in Tuxedo,"A person dressed for a formal occassion, wearing a tuxedo. No gender is specified for this emoji. See also Woman in Tuxedo and Man in Tuxedo.",emoji woman tuxedo gender specified wearing man occassion,NEGATIVE,0.9870337247848511
290,🤵‍♂️,♂️ Man in Tuxedo,"The Man in Tuxedo emoji is a ZWJ sequence combining 🤵 Person in Tuxedo, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",man tuxedo emoji zwj person sequence,NEGATIVE,0.9981967806816101
291,🤵‍♀️,♀️ Woman in Tuxedo,"The Woman in Tuxedo emoji is a ZWJ sequence combining 🤵 Person in Tuxedo, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",woman tuxedo emoji zwj person sequence,NEGATIVE,0.9978975057601929
292,👰,Person With Veil,A person in traditional western wedding dress with a veil over their head.,wedding dress veil head western traditional,POSITIVE,0.786713182926178
293,👰‍♂️,♂️ Man with Veil,"The Man with Veil emoji is a ZWJ sequence combining 👰 Person With Veil, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",man veil emoji zwj sequence person combining,NEGATIVE,0.9987576007843018
294,👰‍♀️,♀️ Woman with Veil,"The Woman with Veil emoji is a ZWJ sequence combining 👰 Person With Veil, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",woman veil emoji zwj sequence person,NEGATIVE,0.9986006617546082
295,🤰,Pregnant Woman,"A pregnant woman, intended to complete the family emoji set. Sometimes used in jest to represent feeling full after over-eating; aka ""food baby"".",used jest represent aka food baby pregnant woman feeling intended,NEGATIVE,0.9887362122535706
296,🤱,Breast-Feeding,"A woman shown breastfeeding a baby, sometimes looking down to the infant and smiling.",woman shown breastfeeding baby looking infant smiling,POSITIVE,0.9231138825416565
297,👩‍🍼,🍼 Woman Feeding Baby,"A woman feeding a baby with a bottle, sometimes looking down to the infant and smiling.",woman feeding baby bottle looking infant smiling,POSITIVE,0.9380439519882202
298,👨‍🍼,🍼 Man Feeding Baby,"A man feeding a baby with a bottle, sometimes looking down to the infant and smiling.",man feeding baby bottle looking infant smiling,POSITIVE,0.9404629468917847
299,🧑‍🍼,🍼 Person Feeding Baby,"A person feeding a baby with a bottle, sometimes looking down to the infant and smiling.",person feeding baby bottle looking infant smiling,POSITIVE,0.5583018660545349
300,👼,Baby Angel,"An angelic baby with wings, and a halo above its head. Commonly known as a cherub.",commonly known cherub angelic baby wings halo,POSITIVE,0.9888091683387756
301,🎅,Santa Claus,"Santa Claus, sometimes referred to as Father Christmas, brings joy to children at Christmas time. Displayed with a beard and red festive hat.",santa claus father christmas referred brings,POSITIVE,0.9996201992034912
